,en,ru,zh
AVA_BLANK_MAN,Man,Мужчина,人
AVA_BLANK_SIMPLE,Simple,Простой,
AVA_BLANK_WOMAN,Woman,Женщина,女人
AVA_GIRL_1,Girl 1,Девушка 1,
AVA_GIRL_2,Girl 2,Девушка 2,
AVA_GIRL_3,Girl 3,Девушка 3,
AVA_GIRL_ELF,Elf Woman,Эльфийка,
AVA_SN_DRAGON1,Dragon 1,Дракон 1,
AVA_SYMBOL_YINYAN,Yin-Yan,Инь-Янь,
AVACAT_FEMALE,Women,Женщины,
AVACAT_MALE,Men,Мужчины,
AVACAT_STANDART,Standart,Стандартные,
AVACAT_SUPERNATURAL,Supernatural,Сверхъестественное,
AVACAT_SYMBOLS,Symbols,Символы,
BTN_ACCEPT,Accept,Принять,
BTN_ACCEPT,Accept,Разрешить,
BTN_ACCEPT_SETTINGS,Accept settings,Применить изменения и вернуться в главное меню,
BTN_ADD_BAN,Ban,Забанить,
BTN_ADD_BLOCK,Block this user,Заблокировать этого пользователя,
BTN_ADD_FRIEND,Add to friendlist,Запрос в друзья,
BTN_AI,AI Control Panel,Панель управления AI,
BTN_AI_LOG,Show log,Показать лог,
BTN_AI_REFRESH,Restart AI,Перезапустить AI,
BTN_BACK,Back,Назад,
BTN_BACK_TO_GAME,Back to game,Вернуться в игру,
BTN_CANCEL,Cancel,Отмена,
BTN_CANCEL_SETTINGS,Cancel changes and return to main menu,Отменить изменения и вернуться в главное меню,
BTN_CLEAR_CHAT,Clear chat,Очистить чат,
BTN_CLOSE_GAME,Close game,Закрыть игру,
BTN_CLOSE_PM_CHAT,Close private chat,Закрыть приватный чат,
BTN_CONTINUE,Continue,Продолжить,
BTN_CONTINUE,Continue,Продолжить,
BTN_CREATE,Create,Создать,
BTN_CREATE,Create,Создать,
BTN_CREATE_GAME,Create game,Создать игру,
BTN_CREATE_PROFILE,Create profile,Создать профиль,
BTN_CREATE_SERVER,Create game,Создать игру,
BTN_DECLINE,Decline,Отказать,
BTN_DELETE,Delete,Удалить,
BTN_DELETE_PROFILE,Reset all settings,Сбросить все настройки,
BTN_EDITOR,Editor,Редактор,
BTN_ENTER_GUEST,Enter as quest,Войти как гость,
BTN_EXPLORER,Open in explorer,Открыть в проводнике,
BTN_EXTRA,Miscellaneous,Дополнительно,杂
BTN_FLIP_BOARD,Flip board,Перевернуть доску,
BTN_FORWARD,Forward,Вперёд,
BTN_GM_ACHIVEMENTS,Achivements,Достижения,
BTN_GM_BUGS,Report bug,Зарепортить баг,
BTN_GM_CVC,CPU vs CPU,CPU против CPU,
BTN_GM_DONATE,Donate to project,Поддержать проект,
BTN_GM_EDITOR,Editor,Редактор,
BTN_GM_HELP,Help,Справка,
BTN_GM_HOST,Host,Хост,
BTN_GM_JOIN,Join,Присоединиться,
BTN_GM_LIBRARY,Replays,Повторы,遊戲回放
BTN_GM_LOAD,Load,Загрузить,負載
BTN_GM_NEWS,Shogi news,Новости сёги,
BTN_GM_ONLINE_REPLAYS,Online replays,Онлайн повторы,
BTN_GM_PROFILE,Profile,Профиль,
BTN_GM_PVC,Versus AI,Игра с AI,
BTN_GM_PVP,Local game,Локальная игра,
BTN_GM_SERVER,Multiplayer,Сетевая игра,
BTN_GM_SERVER_LIST,Server list,Список серверов,
BTN_GM_TUTORIALS,Tutorials,Обучение,
BTN_HIDE_AI_PANEL,Hide AI Panel,Скрыть панель AI,
BTN_HIDE_PANEL,Hide panel,Скрыть панель,
BTN_INPUT_DEFAULT,Reset to default,Сброс значений,
BTN_INPUT_SAVE,Save configuration,Сохранение конфигурации,
BTN_JOIN,Join,Присоединиться,
BTN_LEAVE,Save and leave the game,Сохранить и покинуть игру,
BTN_LIBRARY,Library,Библиотека,
BTN_LIBRARY_BACK,Back to main menu,Библиотека,
BTN_LIBRARY_POSITIONS,Positions,Позиции,
BTN_LIBRARY_REPLAYS,Replays,Повторы матчей,
BTN_LOAD,Load,Загрузить,
BTN_LOAD_SFEN,Load SFEN,Загрузить,
BTN_MP_ENTER,Enter,Войти,
BTN_MP_JOIN,Join to main server,Присоединиться к главному серверу,
BTN_MP_LOGIN,Sign In,Вход,
BTN_MP_MAKE_REQUEST,Make request,Сделать запрос,
BTN_MP_REGISTER,Sign up,Регистрация,
BTN_MPBACK,Return to server,Вернуться на сервер,
BTN_NEWGAME,Game modes,Игровые режимы,
BTN_NO,No,Нет,
BTN_OBSERVE,Watch game,Просмотреть партию,
BTN_OBSERVE,Observe,Наблюдать,
BTN_OK,Ok,Ok,
BTN_OPEN_AI_SETTINGS,Open advanced AI settings,Открыть продвинутые настройки AI,
BTN_OPEN_PM_CHAT,Open private chat,Открыть приватный чат,
BTN_OPEN_STYLES_SETTINGS,Open advanced styles settings,Открыть продвинутые настройки стилей,
BTN_PIECE_STYLE,Piece styles,Стили фигур,
BTN_PLAY,Play,Играть,
BTN_PM,Open private chat,Открыть приватный чат,
BTN_PROFILE_LIST,Open profile list,Открыть список профилей,
BTN_QUICKGAME,Quick game,Быстрая игра,
BTN_QUICKSETUP,Quick setup,Быстрая настройка,
BTN_QUIT,Quit,Выход,
BTN_REFRESH_SERVER_LIST,Refresh servers list,Обновить список серверов,
BTN_REMATCH,Request Rematch,Запросить Реванш,
BTN_REPLAY_CONVERT_TO_MODERN_FORMAT,Convert to modern format,Конвертировать в современный формат,
BTN_RESIGN,Resign,Сдаться,
BTN_RESTORE_PASSWORD,Restore password,Восстановить пароль,
BTN_RETURN,Return to game,Возврат в игру,
BTN_RETURN_SETTINGS,Return to settings and continue editing,Вернуться в настройки и продолжить редактирование,
BTN_RETURN_TO_GAME,Return to game,Вернуться в игру,
BTN_SAVE,Save game,Сохранить игру,
BTN_SAVEREPLAY,Save replay,Сохранить повтор,
BTN_SETTINGS,Settings,Настройки,
BTN_SETTINGS_AI,AI,AI,
BTN_SETTINGS_CAMERA,Camera,Камера,
BTN_SETTINGS_COMFORT,Comfort,Удобства,
BTN_SETTINGS_GAMEPLAY,Gameplay,Игра,
BTN_SETTINGS_GRAPHICS,Graphics,Графика,
BTN_SETTINGS_HISTORY,History,История,
BTN_SETTINGS_INPUT,Input,Управление,
